,ethanol,D-Glucose,maltose,maltotriose,Linalool,GERANIOL
A1,23.00869,0.00468,0.79491,0.2323,0.11546,0.24811
A2,14.34805,0.00468,19.05686,6.61822,3.84284,0.50254
A4,26.65896,0.11237,3.46256,2.8535,0.16159,0.54319
A10,24.25984,0.00468,1.02619,0.59478,0.16362,0.2238
A11,20.58256,0.00468,0.84036,0.00897,0.08885,0.08268
B2,25.09022,0.00468,2.92514,1.20198,0.06507,0.09386
B3,22.27441,0.00468,2.8904,2.59097,0.0538,0.0729
B11,24.05957,0.00468,2.79054,2.86864,0.05402,0.08329
C2,11.12549,0.13298,19.58801,6.89794,0.02061,0.04753
C4,10.6328,0.01489,21.37196,7.33896,0.33764,0.40479
C6,23.17379,0.01382,2.08128,0.90526,0.29381,0.10127
C8,21.91025,0.01254,5.0194,4.22658,0.16715,0.11544
D7,15.53429,0.03595,2.8414,2.33523,0.06695,0.38034
D8,26.11846,0.01478,0.16927,0.00897,0.0,0.05162
D9,25.43626,0.11018,1.17715,0.81453,0.0,0.01115
E2,22.02845,0.00468,2.11836,1.88261,0.07609,0.0
E7,26.93123,0.01773,1.07199,0.00897,0.35444,0.0
F7,22.96357,0.01226,4.0906,3.6842,0.00355,0.00834
WLP,23.79541,0.0129,1.45414,0.00897,0.0,0.01802
