Line Name	Measurement Type	0
21	AHR_ECOLI	
22	AHR_ECOLI	177655
23	AHR_ECOLI	
24	AHR_ECOLI	202609.6667
25	AHR_ECOLI	103924.6667
26	AHR_ECOLI	106844
27	AHR_ECOLI	152127.6667
28	AHR_ECOLI	99185.66667
29	AHR_ECOLI	129255
30	AHR_ECOLI	160723.6667
35	AHR_ECOLI	259186.3333
36	AHR_ECOLI	146507
21	LCFA_ECOLI	
22	LCFA_ECOLI	597639
23	LCFA_ECOLI	
24	LCFA_ECOLI	878754
25	LCFA_ECOLI	160666
26	LCFA_ECOLI	405295
27	LCFA_ECOLI	954641
28	LCFA_ECOLI	134253
29	LCFA_ECOLI	332847.3333
30	LCFA_ECOLI	971233.3333
35	LCFA_ECOLI	1199396.333
36	LCFA_ECOLI	153486.6667
21	sp|Q41635|FATB_UMBCA	
22	sp|Q41635|FATB_UMBCA	295836.5
23	sp|Q41635|FATB_UMBCA	
24	sp|Q41635|FATB_UMBCA	270765.6667
25	sp|Q41635|FATB_UMBCA	87249.66667
26	sp|Q41635|FATB_UMBCA	94611.33333
27	sp|Q41635|FATB_UMBCA	120140.6667
28	sp|Q41635|FATB_UMBCA	84690.33333
29	sp|Q41635|FATB_UMBCA	99142
30	sp|Q41635|FATB_UMBCA	128345.6667
35	sp|Q41635|FATB_UMBCA	355837.6667
36	sp|Q41635|FATB_UMBCA	230650.6667
21	sp|Q6F7B8|ACR1_ACIAD	
22	sp|Q6F7B8|ACR1_ACIAD	40769
23	sp|Q6F7B8|ACR1_ACIAD	
24	sp|Q6F7B8|ACR1_ACIAD	54979
25	sp|Q6F7B8|ACR1_ACIAD	9794.666667
26	sp|Q6F7B8|ACR1_ACIAD	16036.33333
27	sp|Q6F7B8|ACR1_ACIAD	29339.66667
28	sp|Q6F7B8|ACR1_ACIAD	16300
29	sp|Q6F7B8|ACR1_ACIAD	28148.33333
30	sp|Q6F7B8|ACR1_ACIAD	42547.66667
35	sp|Q6F7B8|ACR1_ACIAD	71889.33333
36	sp|Q6F7B8|ACR1_ACIAD	39823.66667
21	tr|A1U2T0|A1U2T0_MARHV	
22	tr|A1U2T0|A1U2T0_MARHV	2194.5
23	tr|A1U2T0|A1U2T0_MARHV	
24	tr|A1U2T0|A1U2T0_MARHV	
25	tr|A1U2T0|A1U2T0_MARHV	
26	tr|A1U2T0|A1U2T0_MARHV	
27	tr|A1U2T0|A1U2T0_MARHV	
28	tr|A1U2T0|A1U2T0_MARHV	
29	tr|A1U2T0|A1U2T0_MARHV	
30	tr|A1U2T0|A1U2T0_MARHV	
35	tr|A1U2T0|A1U2T0_MARHV	3023.333333
36	tr|A1U2T0|A1U2T0_MARHV	0
21	tr|A1U3L3|A1U3L3_MARHV	
22	tr|A1U3L3|A1U3L3_MARHV	0
23	tr|A1U3L3|A1U3L3_MARHV	
24	tr|A1U3L3|A1U3L3_MARHV	
25	tr|A1U3L3|A1U3L3_MARHV	0
26	tr|A1U3L3|A1U3L3_MARHV	0
27	tr|A1U3L3|A1U3L3_MARHV	
28	tr|A1U3L3|A1U3L3_MARHV	0
29	tr|A1U3L3|A1U3L3_MARHV	0
30	tr|A1U3L3|A1U3L3_MARHV	0
35	tr|A1U3L3|A1U3L3_MARHV	
36	tr|A1U3L3|A1U3L3_MARHV	0
21	dodecan-1-ol	
22	dodecan-1-ol	0.030335
23	dodecan-1-ol	
24	dodecan-1-ol	0.039353333
25	dodecan-1-ol	
26	dodecan-1-ol	0.072076667
27	dodecan-1-ol	0.006516667
28	dodecan-1-ol	0.02794
29	dodecan-1-ol	0.075193333
30	dodecan-1-ol	0.019596667
35	dodecan-1-ol	0.01545
36	dodecan-1-ol	0.014953333
